month,channel,visits,trial_starts,paid_conversions,spend
2025-01,Affiliate,55172,5447,2160,237883.82
2025-01,Bundle,56601,8755,4994,201649.48
2025-01,Email,68472,9456,4944,31372.06
2025-01,Organic,123575,14344,6844,51323.24
2025-01,Paid Search,115421,10160,4446,376701.99
2025-01,Paid Social,92120,6476,2308,427869.08
2025-02,Affiliate,48097,4787,1946,215872.22
2025-02,Bundle,49216,7741,4354,176261.61000000002
2025-02,Email,61445,8497,4390,27274.68
2025-02,Organic,108937,13025,6328,45625.32
2025-02,Paid Search,101887,9170,4053,335731.01
2025-02,Paid Social,81853,5570,2004,382187.25
2025-03,Affiliate,45192,4460,1771,194813.85
2025-03,Bundle,44949,7137,4051,170237.94
2025-03,Email,55627,7754,4031,25115.0
2025-03,Organic,98245,11911,5675,41587.84
2025-03,Paid Search,92552,8382,3626,309364.39
2025-03,Paid Social,73660,5111,1781,353779.87
2025-04,Affiliate,45173,4570,1796,192516.88
2025-04,Bundle,44880,7160,4064,168289.73
2025-04,Email,57742,8106,4173,25445.22
2025-04,Organic,102607,12319,5769,42551.12
2025-04,Paid Search,93976,8375,3639,308000.4
2025-04,Paid Social,73722,5099,1810,352752.24
